Station_Code,X,Y,Z,sX,sY,sZ
MAC1,-3464038.72368612,1334173.01164706,-5169224.05826064,0.00064947,0.00057419,0.00082071
MAL2,4865385.60945432,4110717.28820861,-331137.542129893,0.00063555,0.00064044,0.00059723
MALI,4865366.26761281,4110737.6964097,-331121.489738868,0.00063429,0.00063938,0.00059701
MAR6,2998189.34498526,931451.847058052,5533398.74672897,0.00055853,0.00055582,0.00055506
MAS1,5439192.18841811,-1522055.3940711,2953454.92122107,0.00062103,0.00058995,0.00053521
MAT1,4641951.35886546,1393053.75174813,4133280.93589595,0.00060276,0.00058739,0.00053794
MATE,4641949.46346179,1393045.5157494,4133287.53870324,0.00060105,0.00058703,0.00053661
MAUI,-5466068.95142944,-2404327.76742703,2242127.60023861,0.00073114,0.00055107,0.00051363
MAW1,1111287.18909706,2168911.22588844,-5874493.59408983,0.00054824,0.00053043,0.00086276
MBAR,5482951.25271874,3260442.65385236,-66519.7914811741,0.00065047,0.00061884,0.00059054
MCIL,-5227187.91518782,2551880.66108372,2607618.04550731,0.00074316,0.00056137,0.00053267
MCM4,-1311703.12545338,310814.944120527,-6213255.1181068,0.00057689,0.00053014,0.00087992
MDO1,-1329998.83950189,-5328393.36901235,3236504.13018353,0.00058189,0.00063284,0.00050038
MDVJ,2845455.9686855,2160954.30089301,5265993.2481833,0.00056657,0.00057386,0.0005494
MDVO,2844671.97056293,2161070.23306005,5266363.90237303,0.00063911,0.00062407,0.0007257
MEDI,4461400.65104355,919593.673612697,4449504.82303993,0.00059294,0.00057913,0.00053991
METS,2892570.69346185,1311843.51123734,5512634.17155707,0.00056192,0.00055985,0.00056037
MKEA,-5464105.26677407,-2495166.06483613,2148291.35476115,0.0007319,0.00055452,0.00051445
MOBS,-4130636.37399165,2894953.10200698,-3890530.70059748,0.000683,0.00061183,0.00075057
MONP,-2386247.26214937,-4802359.26790347,3444902.31075901,0.00061927,0.00063945,0.00052234
MQZG,-4580569.68055031,590465.967622453,-4384379.90488967,0.00069952,0.00058197,0.00077685
NAIN,1671836.55725676,-3103473.3083015,5297671.26220984,0.00053315,0.00056847,0.00053891
NAMA,4476294.9590394,4036794.60900655,2086353.17560261,0.00062034,0.00064417,0.0005393
NANO,-2335726.8763393,-3451608.34023415,4812009.92389281,0.00059793,0.00054804,0.00052404
NAUR,-6212555.04505602,1442787.00943545,-61006.6082217037,0.00079578,0.00058088,0.00058226
NICO,4359415.61989906,2874117.11936085,3650777.88766288,0.00061072,0.00061475,0.00053705
NIST,-1288398.37829783,-4721696.92728295,4078625.39038384,0.00058634,0.00066868,0.00056209
NISU,-1288363.71252403,-4721684.21275352,4078659.34790773,0.00057604,0.000613,0.00051561
NIUM,-5937160.70878837,-1054675.7631879,-2071386.33760675,0.00083204,0.00059778,0.00066723
NKLG,6287385.74437882,1071574.64048916,39133.0005679549,0.00066082,0.00057771,0.00058961
NLIB,-130934.683372806,-4762291.72190097,4226854.63956156,0.00055186,0.00061047,0.00051177
NNOR,-2414151.9070229,4907778.5404713,-3270644.70260845,0.00063905,0.00066744,0.00072284
NOT1,4934546.1384752,1321265.0935586,3806456.19659221,0.00060958,0.00058946,0.00053489
NOUM,-5739971.78459335,1387563.45097944,-2402122.97295265,0.00076774,0.00059705,0.00067775
NRC1,1112777.11743462,-4341475.86807667,4522955.83169744,0.00053943,0.00060535,0.00052247
NRIL,64537.077087543,2253782.87687552,5946363.50069495,0.00056332,0.00053462,0.00056214
NRMD,-5743537.90979231,1380504.03333268,-2397896.44542352,0.00076046,0.00059564,0.00067552
NURK,5516756.57827856,3196624.84750692,-215027.233728612,0.00065695,0.00061892,0.00059591
NYA1,1202433.76860292,252632.326192098,6237772.63695891,0.00053881,0.00051919,0.00056903
NYAL,1202430.45906412,252626.745508927,6237767.66543657,0.00053882,0.0005192,0.00056924
OHI2,1525811.96318496,-2432478.22016205,-5676165.56310921,0.00055505,0.00052846,0.00085735
OHI3,1525809.13034964,-2432478.73593343,-5676166.26102607,0.00055485,0.00052794,0.00085585
OHIG,1525872.71582551,-2432481.32418032,-5676146.06750535,0.00055696,0.00053194,0.00086604
ONSA,3370658.46874827,711877.209616969,5349787.00134306,0.00056354,0.00055989,0.00055091
OSN1,-3067863.34263026,4067640.91490253,3824295.71690936,0.00081575,0.00083159,0.00074917
OUS2,-4387890.91169634,733420.602049968,-4555176.23374566,0.00068893,0.00058041,0.00078528
PARC,1255992.47797728,-3622975.16121008,-5079719.22601429,0.0005607,0.00056563,0.00081271
